id,critic,severity,finding,accepted,theme,status
iter3-2-001,customer-adversary,P0,"Saved-assessments list is a lie: getSavedList enumerates many entries from STORAGE_KEY+'-list' but loadFromStorage only reads STORAGE_KEY+'-current' (single-slot); clicking Resume on older entries silently no-ops — perceived as data loss",true,Phase D / Theme 7,folded
iter3-2-002,customer-adversary,P1,"Resume always lands on Phase 1: this.step never persisted; resume hard-codes goToStep('phase1'), forcing returning customers to re-click through to results",true,Phase D / Theme 7,folded
iter3-2-003,customer-adversary,P1,"Role/sector filter leaks across assessments: ROLE_FILTER_KEY and SECTOR_KEY are global localStorage keys not scoped per assessmentId; Customer A's CISO filter silently hides 30+ controls in Customer B's new assessment — scoring error",true,Phase D / Theme 6,folded
iter3-2-004,customer-adversary,P2,"Phase 2 ignores role filter: getGapControls() considers all 78 regardless of state.roleFilter; cards user hid in Phase 1 reappear in Phase 2",true,Phase D / Theme 7,folded
iter3-2-005,customer-adversary,P2,"Long org name overflows filename: no maxLength on org/assessor inputs; 200+ char paste produces filename Edge rejects with cryptic error",true,Phase D / Theme 7,folded
iter3-2-006,customer-adversary,P2,"_savePrompted not persisted across reload: customer re-prompted to save on every return visit",true,Phase D / Theme 7,folded
iter3-1-001,v3-correctness,P1,"localStorage namespace migration is a breaking change for existing customers; need one-time migration in init() copying old fsi/ag.* keys under new namespaced key with migrated@v=SHA flag",true,Theme 6,folded
iter3-1-002,v3-correctness,P2,"Build-SHA Phase C/E ordering: build-time wiring (mkdocs hook, version.json, meta tag) belongs in Phase C step 0 not Phase E; downgraded from P1 — internal sequencing not customer-observable",true,Phase C,folded
iter3-1-003,v3-correctness,P2,"Direct-to-main vs branch protection contradiction: Theme 10 allows 'direct-to-main for trivial-class' but Required Status Checks reject direct push; replace with gh pr create + gh pr merge --auto --squash",true,Theme 10,folded
iter3-1-004,v3-correctness,P2,"palette.stylesheets is a fictional mkdocs-material API; replace with concrete mkdocs hook at overrides/hooks/cache_bust.py (5-line on_post_page rewriting <script src> to append ?v={{ build_sha }})",true,Theme 1,folded
iter3-1-005,v3-correctness,P1,"CSP connect-src blocks Google Fonts that mkdocs-material loads by default; either set theme.font: false and self-host, or add font-src https://fonts.gstatic.com and style-src https://fonts.googleapis.com to CSP allowlist",true,Theme 6,folded
iter3-1-006,v3-correctness,P2,"Persona parity test will block legitimate FRAMEWORK_VERSION bumps; need scripts/update-personas.mjs that re-emits each persona via SPA exporter, documented in AGENTS.md as required in same PR as version bump",true,Theme 3,folded
iter3-1-007,v3-correctness,P2,"Workflow job-name vs branch protection silent-no-op footgun: required contexts in branch-protection.json must match actual workflow job names; need scripts/verify-required-checks.mjs that fails CI on mismatch",true,Theme 1,folded
iter3-3-001,final-correctness,P1,"Cold-start FULL-import not tested: colleague receiving a JSON export in a clean browser (no localStorage) is the actual handoff scenario; need spec 11b-cold-start-full-import.spec.mjs",true,Phase C,folded
iter3-3-002,final-correctness,P2,"PDF spy ambiguity: 'spy across 5, pdf for 1' risks shipping non-consumable PDFs for 4 of 5 personas; page.pdf() must run for all 5 personas with pdf-parse text assertions; visual snapshot remains 1 persona Linux-only",true,Phase C,folded
iter3-3-003,final-correctness,P2,"Phase D PR-batch table required before Phase D begins: .planning/phase-d-batch-plan.md with columns PR# | branch | files/regions | findings_closed | depends_on | batch_class | order; gate-establishing PRs (e2e.yml + smoke + branch protection) ship FIRST",true,Phase D,folded
